SampleName,Sample,Latitude,Longitude
Yukon_2004-3,Yukon_2004-3,61.93333333,-162.8666667
Yukon_2004-1,Yukon_2004-1,61.93333333,-162.8666667
eastriver_2019_sw_WHONDRS-S19S_0100,S19S_0100,38.92352,-106.950961
greatmiami_2019_sw_WHONDRS-S19S_0099,S19S_0099,39.2385932,-84.7119066
logan2_2019_sw_WHONDRS-S19S_0098,S19S_0098,41.950204,-111.580533
logan1_2019_sw_WHONDRS-S19S_0097,S19S_0097,41.720847,-111.8865
icacos_2019_sw_WHONDRS-S19S_0094,S19S_0094,18.2754452,-65.7852826
cobbmillcreek_2019_sw_WHONDRS-S19S_0090,S19S_0090,37.291383,-75.930606
stroublescreek_2019_sw_WHONDRS-S19S_0089,S19S_0089,37.21008,-80.44539
dobsoncreek_2019_sw_WHONDRS-S19S_0087,S19S_0087,43.1233451,-116.7743431
redbuttecreek_2019_sw_WHONDRS-S19S_0086,S19S_0086,40.7797,-111.8064
morescreek_2019_sw_WHONDRS-S19S_0085,S19S_0085,43.6479639,-115.9902503
watershed3_2019_sw_WHONDRS-S19S_0084,S19S_0084,43.954722,-71.722778
sangamon_2019_sw_WHONDRS-S19S_0083,S19S_0083,40.31083,-88.3227
muddycreek_2019_sw_WHONDRS-S19S_0082,S19S_0082,38.8748619,-76.5465418
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,S19S_0081,38.960004,-76.9261495
umpqua_2019_sw_WHONDRS-S19S_0079,S19S_0079,43.6369,-123.5721
littlewolfcreek_2019_sw_WHONDRS-S19S_0078,S19S_0078,43.43138889,-123.5855556
columbiariver2_2019_sw_WHONDRS-S19S_0076,S19S_0076,46.679191,-119.462605
columbiariver1_2019_sw_WHONDRS-S19S_0075,S19S_0075,46.694742,-119.465555
columbia_2019_sw_WHONDRS-S19S_0074,S19S_0074,46.376172,-119.272998
nfkcasparcreek_2019_sw_WHONDRS-S19S_0069,S19S_0069,39.362202,-123.735151
riogrande_2019_sw_WHONDRS-S19S_0066,S19S_0066,35.19845,-106.643178
lowercolorado_2019_sw_WHONDRS-S19S_0063,S19S_0063,30.250335,-97.709399
gunnisonriver_2019_sw_WHONDRS-S19S_0062,S19S_0062,38.544583,-106.950417
blackearthcreek_2019_sw_WHONDRS-S19S_0061,S19S_0061,43.1095,-89.6407
yakimariver_2019_sw_WHONDRS-S19S_0060,S19S_0060,46.2531882,-119.4768203
southforkpolouse_2019_sw_WHONDRS-S19S_0055,S19S_0055,46.732428,-117.180863
pamunkeyriver_2019_sw_WHONDRS-S19S_0054,S19S_0054,37.57261,-77.0237
farmington_2019_sw_WHONDRS-S19S_0053,S19S_0053,41.869567,-72.7966519
cariboucreek_2019_sw_WHONDRS-S19S_0051,S19S_0051,65.1531,-147.50267
oksrukuyikcreek_2019_sw_WHONDRS-S19S_0050,S19S_0050,68.66953,-149.14198
guil_2019_sw_WHONDRS-S19S_0049,S19S_0049,18.17443,-66.80038
kuparukriver_2019_sw_WHONDRS-S19S_0047,S19S_0047,68.64278,-149.40333
hugercreek_2019_sw_WHONDRS-S19S_0044,S19S_0044,33.131027,-79.811134
sharkriverslough_2019_sw_WHONDRS-S19S_0042,S19S_0042,25.40976,-80.96434
crookedriver_2019_sw_WHONDRS-S19S_0041,S19S_0041,44.299994,-120.858196
eastforkpoplarcreek_2019_sw_WHONDRS-S19S_0039,S19S_0039,35.966194,-84.359197
whiteclaycreek2_2019_sw_WHONDRS-S19S_0038,S19S_0038,39.8594333,-75.7839486
whiteclaycreek1_2019_sw_WHONDRS-S19S_0037,S19S_0037,39.8577967,-75.7830393
columbia_2019_sw_WHONDRS-S19S_0036,S19S_0036,46.372515,-119.271902
marshallgulch_2019_sw_WHONDRS-S19S_0035,S19S_0035,32.42735,-110.757838
lajara_2019_sw_WHONDRS-S19S_0034,S19S_0034,35.8677,-106.5233
teakettle2_2019_sw_WHONDRS-S19S_0032,S19S_0032,36.95545,-119.02313
mcraecreek_2019_sw_WHONDRS-S19S_0031,S19S_0031,44.2602628,-122.1650676
marthacreek_2019_sw_WHONDRS-S19S_0030,S19S_0030,45.792348,-121.929131
redbuttecreek_2019_sw_WHONDRS-S19S_0029,S19S_0029,40.78319,-111.80126
sycamorecreek_2019_sw_WHONDRS-S19S_0028,S19S_0028,33.750675,-111.507871
weststlouiscreek_2019_sw_WHONDRS-S19S_0027,S19S_0027,39.89064,-105.91125
comocreek_2019_sw_WHONDRS-S19S_0026,S19S_0026,40.03489,-105.54327
pringlecreek_2019_sw_WHONDRS-S19S_0025,S19S_0025,33.37853,-97.78275
blueriver_2019_sw_WHONDRS-S19S_0024,S19S_0024,34.44205,-96.6227
arikareeriver_2019_sw_WHONDRS-S19S_0023,S19S_0023,39.75841,-102.44896
blackwarrior_2019_sw_WHONDRS-S19S_0021,S19S_0021,32.54069,-87.79835
tombigeeriver_2019_sw_WHONDRS-S19S_0020,S19S_0020,31.85294,-88.15755
lecontecreek_2019_sw_WHONDRS-S19S_0018,S19S_0018,35.6922935,-83.504941
mcdi_2019_sw_WHONDRS-S19S_0017,S19S_0017,38.94668,-96.44355
king_2019_sw_WHONDRS-S19S_0016,S19S_0016,39.10445,-96.6025
flintriver_2019_sw_WHONDRS-S19S_0015,S19S_0015,31.184396,-84.439009
lewisrun_2019_sw_WHONDRS-S19S_0014,S19S_0014,39.0941,-77.9808
poseycreek_2019_sw_WHONDRS-S19S_0013,S19S_0013,38.8952,-78.1476
hopbrook_2019_sw_WHONDRS-S19S_0012,S19S_0012,42.47179,-72.33027
middleoconee_2019_sw_WHONDRS-S19S_0011,S19S_0011,33.955686,-83.437674
altamaha_2019_sw_WHONDRS-S19S_0010,S19S_0010,31.667875,-81.840062
littlewindriver_2019_sw_WHONDRS-S19S_0009,S19S_0009,42.9877,-108.3983
teakettle_2019_sw_WHONDRS-S19S_0008,S19S_0008,36.961112,-119.027785
providencecreek_2019_sw_WHONDRS-S19S_0007,S19S_0007,37.05255,-119.195598
deadrun_2019_sw_WHONDRS-S19S_0006,S19S_0006,39.311369,-76.717163
NASQAN2016_179,NASQAN2016_179,25.87675,-97.45443
NASQAN2016_178,NASQAN2016_178,25.87675,-97.45443
NASQAN2016_164,NASQAN2016_164,45.00616,-74.79491
NASQAN2016_159,NASQAN2016_159,41.72167,-73.94111
NASQAN2016_083,NASQAN2016_083,39.65791,-76.17418
NASQAN2016_060,NASQAN2016_060,29.85715,-89.97785
NASQAN2016_024,NASQAN2016_024,38.45602,-121.50134
NASQAN2016_016,NASQAN2016_016,38.45602,-121.50134
NASQAN2015_227,NASQAN2015_227,29.94937,-85.01547
NASQAN2015_208,NASQAN2015_208,37.67604,-121.26633
NASQAN2015_206,NASQAN2015_206,38.45602,-121.50134
NASQAN2015_174,NASQAN2015_174,31.42717,-81.60539
NASQAN2015_172,NASQAN2015_172,31.42717,-81.60539
NASQAN2015_150,NASQAN2015_150,41.72167,-73.94111
NASQAN2015_114,NASQAN2015_114,38.92956,-77.11692
NASQAN2015_111,NASQAN2015_111,32.71866,-114.71884
NASQAN2015_109,NASQAN2015_109,32.71866,-114.71884
NASQAN2015_101,NASQAN2015_101,29.94937,-85.01547
NASQAN2015_081,NASQAN2015_081,39.65791,-76.17418
NASQAN2015_052,NASQAN2015_052,37.67604,-121.26633
NASQAN2015_047,NASQAN2015_047,37.67604,-121.26633
NASQAN2015_042,NASQAN2015_042,38.45602,-121.50134
NASQAN2015_031,NASQAN2015_031,45.00616,-74.79491
NASQAN2015_015,NASQAN2015_015,61.93369,-162.88294
NASQAN2015_013,NASQAN2015_013,61.93369,-162.88294
NASQAN2015_010,NASQAN2015_010,61.93369,-162.88294
NASQAN2014_193,NASQAN2014_193,31.42717,-81.60539
NASQAN2014_190,NASQAN2014_190,29.34969,-95.58245
NASQAN2014_188,NASQAN2014_188,38.92956,-77.11692
NASQAN2014_185,NASQAN2014_185,32.71866,-114.71884
NASQAN2014_144,NASQAN2014_144,45.00616,-74.79491
NASQAN2014_141,NASQAN2014_141,45.00616,-74.79491
NASQAN2014_089,NASQAN2014_089,31.08657,-87.97722
NASQAN2014_085,NASQAN2014_085,31.08657,-87.97722
NASQAN2014_035,NASQAN2014_035,29.34969,-95.58245
NASQAN2014_024,NASQAN2014_024,29.34969,-95.58245
NASQAN2012_130,NASQAN2012_130,38.95116,-90.37123
NASQAN2012_115,NASQAN2012_115,32.33972,-90.9125
NASQAN2012_107,NASQAN2012_107,32.44417,-90.91417
NASQAN2011_458,NASQAN2011_458,41.17809,-91.18209
NASQAN2011_451,NASQAN2011_451,38.48977,-87.55002
NASQAN2011_433,NASQAN2011_433,41.01528,-96.15778
NASQAN2011_429,NASQAN2011_429,41.01528,-96.15778
NASQAN2011_401,NASQAN2011_401,38.70981,-91.4385
NASQAN2011_333,NASQAN2011_333,38.13088,-87.94142
NASQAN2011_332,NASQAN2011_332,38.13088,-87.94142
NASQAN2011_330,NASQAN2011_330,38.13088,-87.94142
NASQAN2011_286,NASQAN2011_286,41.78059,-90.25207
NASQAN2011_282,NASQAN2011_282,41.78059,-90.25207
NASQAN2011_275,NASQAN2011_275,40.72781,-91.95962
NASQAN2011_265,NASQAN2011_265,40.72781,-91.95962
NASQAN2011_262,NASQAN2011_262,41.17809,-91.18209
NASQAN2011_256,NASQAN2011_256,41.17809,-91.18209
NASQAN2011_250,NASQAN2011_250,41.17809,-91.18209
NASQAN2011_236,NASQAN2011_236,30.44567,-91.19156
NASQAN2011_231,NASQAN2011_231,30.44567,-91.19156
NASQAN2011_225,NASQAN2011_225,30.69074,-91.73623
NASQAN2011_219,NASQAN2011_219,30.69074,-91.73623
NASQAN2011_217,NASQAN2011_217,29.69799,-91.37289
NASQAN2011_209,NASQAN2011_209,29.69799,-91.37289
NASQAN2011_198,NASQAN2011_198,30.75852,-91.39595
NASQAN2011_188,NASQAN2011_188,30.75852,-91.39595
NASQAN2011_177,NASQAN2011_177,38.48977,-87.55002
NASQAN2011_099,NASQAN2011_099,39.70338,-90.64541
NASQAN2011_060,NASQAN2011_060,41.25889,-95.92251
NASQAN2011_057,NASQAN2011_057,41.25889,-95.92251
NASQAN2011_051,NASQAN2011_051,41.25889,-95.92251
NASQAN2011_031,NASQAN2011_031,37.03784,-88.52949
NASQAN2011_028,NASQAN2011_028,37.03784,-88.52949
NASQAN2010_233,NASQAN2010_233,40.72781,-91.95962
NASQAN2010_190,NASQAN2010_190,37.20311,-89.04174
NASQAN2010_155,NASQAN2010_155,41.25889,-95.92251
NASQAN2010_127,NASQAN2010_127,38.95116,-90.37123
NASQAN2010_121,NASQAN2010_121,41.78059,-90.25207
