,Order,MAGRichness,MAGShannons,GeneRichness,GeneShannons,Aerobic,Microaerophillic,Light_driven,N_Reducer,DNRA,Methanotroph,StreamOrder_WHOND,Lat,Long,WC_Height,AvgNPOC,SpC,SO4,NO3,TN,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,PrecipSite,AridityWs,NPPWs
S19S_0010,1,408,4.362466992,13431,4.281936534,7991.850859,3907.323825,6009.131479,14.16311809,77.32587501,1.301702384,7,31.667905,-81.8403,30,2.273333333,125.7,13.55,0.85,0.41,0.037530232,0,1.523699062,0,6.108845422,3.930126181,1.617349178,0.642154737,0.28581284,12.01688738,26.22150211,6.93805038,3.620893795,6.113786997,8.492074946,8.164025288,13.65005368,0.674738008,1194.578144,24.17206673,17.71581576,388.4034932,80.61614739,35278.2261,0.005329066,1228.98999,0.7726,7170
S19S_0023,2,152,1.901044474,3149,3.353976064,6795.73719,2842.970347,3321.60806,520.6407297,49.97766488,0,4,39.75854,-102.44917,19,4.443333333,543,1.55,0.19,0.44,0,0,0.020580597,0,2.173323499,0.113489071,0.029236279,0.004109892,0.018992684,0.035183169,0.001276557,0.003175826,0.999108589,42.0213758,2.814186476,51.31922872,0.142663079,0.304069759,422.6524849,17.53873145,9.54445046,1.125968821,0.562924204,2890.5867,0,452.9400024,0.2277,2902
S19S_0067,3,428,5.019156822,25551,3.74656396,3806.429102,2878.032923,1031.36297,209.7239151,790.2064442,9.68281425,3,42.39193,-85.35402,4,2.18,526,15.3,6.71,2.09,0.010186671,0,2.346092138,0,8.373137749,1.957368783,0.386889755,0.055008022,0.059592024,22.88150355,2.287416915,4.128352051,0.052257621,0.168691267,12.05959202,24.90121476,19.78638551,0.556497823,965.1683818,14.86802671,9.415671667,357.6696218,36.6443828,98.1675,0,968.7399902,0.8331,6667
S19S_0061,4,454,4.462050514,24005,3.219070646,7525.658942,5099.434547,2025.675869,719.2381241,724.3974039,7.20438698,1,43.1091,-89.6403,55,2.646666667,576,11.81,9.84,2.52,0,0,0,0,2.03313253,7.304216867,4.969879518,1.129518072,0,52.03313253,0,4.36746988,2.18373494,1.054216867,6.777108434,11.52108434,0.451807229,6.174698795,905.648993,13.50299018,7.964549492,270,115.1076539,1.1952,0.836680054,905.6500244,0.7834,5877
S19S_0021,5,249,3.522140171,7211,3.02214492,9883.259968,3949.201722,5812.980781,176.8732694,12.71997706,0,6,32.54108,-87.79821,26,1.563333333,294,64.12,0,0.53,0.026695021,0,2.023910842,0,5.344493409,3.12087044,1.444918077,0.531547926,0.337358331,25.27101425,18.63552181,12.74747884,4.662357757,4.032772365,15.17345007,0.73877359,5.596733553,0.33879875,1429.334848,22.99855603,16.5633976,644.6020307,54.46635216,16182.7929,0.06377144,1373.140015,0.996,6347
S19S_0024,6,423,2.948024016,11597,3.875759353,24521.30019,15926.91509,12982.0353,243.5980356,637.8862874,3.828289248,4,34.44251,-96.62259,37.5,0.64,534,5.13,1.71,0.74,0.012155047,0,0.414061688,0,1.9540758,0.586359484,0.231918303,0.027348857,0.085328432,17.55304311,0.014494894,0.001367443,0.650629297,63.43239089,14.56244564,0.470400333,0.00191442,0.014221405,1038.018652,22.34469144,16.37378648,256.9780908,4.761311436,329.0814,0.006077524,1040.869995,0.6145,5743
S19S_0077,7,315,2.589767297,2952,3.540628997,33906.45832,23356.95978,5115.637133,4065.67473,186.8735483,0.588839765,6,40.664703,-105.224786,29,2.223333333,49.5,3.47,0,0.24,0.01097389,0,0.346632261,0.55775893,0.564507872,0.200394204,0.054090303,0.005037015,0.254451586,0.476639935,51.65205877,0.044411333,27.21028684,16.07953612,0.115225844,0.090765044,1.647992947,0.700210995,554.9347433,11.10452627,4.214126429,39.1886224,1.40190101,2733.7617,0.002194778,428.1199951,0.3514,3907
S19S_0073,9,244,2.122991299,3128,3.330441636,38371.57652,27014.31268,9467.669198,4041.846952,120.4833173,0.064645714,1,42.7696832,-70.9168932,7,6.673333333,379,2.95,0.55,0.96,0,0,0.061817433,0,0.803626623,1.813311354,2.225427571,0.103029054,0.103029054,32.53657531,1.112713785,5.39872244,1.195137029,0.824232434,4.244797033,0,41.78858438,7.788996497,1250.969877,14.73439438,9.232072469,509.2027612,92.00547081,4.3677,0,1250.780029,0.9605,9875
S19S_0090,10,108,2.457882043,1005,3.049062692,2900.403802,1640.973895,731.0355014,93.99402806,539.1025279,0.13794989,1,37.291396,-75.930807,5,1.81,242,36.51,21.85,5.5,0,0,0.086565097,0,7.548476454,2.423822715,0.398199446,0,0,0.779085873,7.96398892,7.063711911,0.27700831,0.173130194,0.917590028,61.04570637,10.94182825,0.380886427,1063.433912,19.71580053,15.05984184,378,33.9696376,5.1984,0,1062.900024,0.7455,9814
S19S_0026,14,58,2.318567233,392,2.365543853,885.2793244,628.5510176,83.33465899,21.39014784,322.5332839,0,1,40.03497,-105.54393,17,3.503333333,21.4,1.22,0,0.22,0,0,0,0.674686525,0.34370823,0.598306919,0.076379607,0.012729934,0,4.2136083,75.83221946,0.057284705,11.34237159,4.990134301,0,0,1.610336707,0.248233722,792.9476943,8.725757692,2.451116995,91,5.431662592,14.1399,0,829.460022,0.429,5316
