Class,byClass.Sensitivity,byClass.Specificity,byClass.Pos.Pred.Value,byClass.Neg.Pred.Value,byClass.Precision,byClass.Recall,byClass.F1,byClass.Prevalence,byClass.Detection.Rate,byClass.Detection.Prevalence,byClass.Balanced.Accuracy,model_name
Class: Actinomycetia,0.47368421052631576,0.8888888888888888,0.44999999999999984,0.8979591836734694,0.45,0.47368421052631576,0.46153846153846156,0.16101694915254236,0.07627118644067797,0.1694915254237288,0.6812865497076023,model_1
Class: Alphaproteobacteria,0,1,NA,0.9830508474576272,NA,0,NA,0.01694915254237288,0,0,0.5,model_1
Class: Bacteroidia,0.5666666666666667,0.9090909090909091,0.6799999999999999,0.8602150537634408,0.68,0.5666666666666667,0.6181818181818183,0.2542372881355932,0.1440677966101695,0.211864406779661,0.7378787878787878,model_1
Class: Cyanobacteriia,1,1,1,1,1,1,1,0.05084745762711865,0.05084745762711865,0.05084745762711865,1,model_1
Class: Gammaproteobacteria,0.8913043478260869,0.7222222222222222,0.6721311475409837,0.9122807017543859,0.6721311475409836,0.8913043478260869,0.7663551401869158,0.3898305084745763,0.3474576271186441,0.5169491525423728,0.8067632850241546,model_1
Class: Verrucomicrobiae,0.3333333333333333,0.9902912621359223,0.8333333333333334,0.9107142857142857,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.1271186440677966,0.0423728813559322,0.05084745762711865,0.6618122977346278,model_1
Class: Actinomycetia,0.25,0.9361702127659575,0.5000000000000001,0.830188679245283,0.5,0.25,0.3333333333333333,0.2033898305084746,0.05084745762711865,0.1016949152542373,0.5930851063829787,model_2
Class: Alphaproteobacteria,0,1,NA,0.9915254237288136,NA,0,NA,0.00847457627118644,0,0,0.5,model_2
Class: Bacteroidia,0.6666666666666666,0.875,0.6451612903225807,0.8850574712643678,0.6451612903225806,0.6666666666666666,0.6557377049180327,0.2542372881355932,0.1694915254237288,0.2627118644067797,0.7708333333333333,model_2
Class: Cyanobacteriia,0.6,0.9722222222222222,0.6666666666666666,0.963302752293578,0.6666666666666666,0.6,0.631578947368421,0.0847457627118644,0.05084745762711865,0.07627118644067797,0.7861111111111111,model_2
Class: Gammaproteobacteria,0.8367346938775511,0.6666666666666666,0.640625,0.8518518518518519,0.640625,0.8367346938775511,0.7256637168141593,0.4152542372881356,0.3474576271186441,0.5423728813559322,0.7517006802721089,model_2
Class: Verrucomicrobiae,0.25,0.9912280701754386,0.4999999999999993,0.9741379310344828,0.5,0.25,0.3333333333333333,0.03389830508474576,0.00847457627118644,0.01694915254237288,0.6206140350877193,model_2
Class: Actinomycetia,0.4,0.9591836734693877,0.6666666666666664,0.8867924528301887,0.6666666666666666,0.4,0.5,0.1694915254237288,0.06779661016949153,0.1016949152542373,0.6795918367346938,model_3
Class: Alphaproteobacteria,0,1,NA,0.9830508474576272,NA,0,NA,0.01694915254237288,0,0,0.5,model_3
Class: Bacteroidia,0.71875,0.8604651162790697,0.657142857142857,0.891566265060241,0.6571428571428571,0.71875,0.6865671641791045,0.2711864406779661,0.19491525423728814,0.2966101694915254,0.7896075581395349,model_3
Class: Cyanobacteriia,1,1,1,1,1,1,1,0.06779661016949153,0.06779661016949153,0.06779661016949153,1,model_3
Class: Gammaproteobacteria,0.875,0.7714285714285715,0.7241379310344829,0.9,0.7241379310344828,0.875,0.7924528301886793,0.4067796610169492,0.3559322033898305,0.4915254237288136,0.8232142857142857,model_3
Class: Verrucomicrobiae,0.25,0.9727272727272728,0.4000000000000004,0.9469026548672567,0.4,0.25,0.3076923076923077,0.06779661016949153,0.01694915254237288,0.0423728813559322,0.6113636363636363,model_3
Class: Actinomycetia,0.2631578947368421,0.9696969696969697,0.6250000000000001,0.8727272727272727,0.625,0.2631578947368421,0.37037037037037035,0.16101694915254236,0.0423728813559322,0.06779661016949153,0.6164274322169059,model_4
Class: Alphaproteobacteria,0,1,NA,0.9576271186440678,NA,0,NA,0.0423728813559322,0,0,0.5,model_4
Class: Bacteroidia,0.7096774193548387,0.8390804597701149,0.611111111111111,0.8902439024390244,0.6111111111111112,0.7096774193548387,0.6567164179104478,0.2627118644067797,0.1864406779661017,0.3050847457627119,0.7743789395624768,model_4
Class: Cyanobacteriia,0.8,1,1,0.9912280701754386,1,0.8,0.888888888888889,0.0423728813559322,0.03389830508474576,0.03389830508474576,0.9,model_4
Class: Gammaproteobacteria,0.7916666666666666,0.6714285714285714,0.6229508196721312,0.8245614035087719,0.6229508196721312,0.7916666666666666,0.6972477064220183,0.4067796610169492,0.3220338983050847,0.5169491525423728,0.731547619047619,model_4
Class: Verrucomicrobiae,0.6,0.9722222222222222,0.6666666666666666,0.963302752293578,0.6666666666666666,0.6,0.631578947368421,0.0847457627118644,0.05084745762711865,0.07627118644067797,0.7861111111111111,model_4
Class: Actinomycetia,0.4117647058823529,0.9108910891089109,0.4375000000000001,0.9019607843137255,0.4375,0.4117647058823529,0.42424242424242425,0.1440677966101695,0.059322033898305086,0.13559322033898305,0.6613278974956319,model_5
Class: Alphaproteobacteria,0,1,NA,0.9915254237288136,NA,0,NA,0.00847457627118644,0,0,0.5,model_5
Class: Bacteroidia,0.59375,0.9186046511627907,0.7307692307692306,0.858695652173913,0.7307692307692307,0.59375,0.6551724137931033,0.2711864406779661,0.16101694915254236,0.22033898305084745,0.7561773255813953,model_5
Class: Cyanobacteriia,0.5555555555555556,1,1,0.9646017699115044,1,0.5555555555555556,0.7142857142857143,0.07627118644067797,0.0423728813559322,0.0423728813559322,0.7777777777777778,model_5
Class: Gammaproteobacteria,0.851063829787234,0.6056338028169014,0.588235294117647,0.86,0.5882352941176471,0.851063829787234,0.6956521739130435,0.3983050847457627,0.3389830508474576,0.576271186440678,0.7283488163020677,model_5
Class: Verrucomicrobiae,0.25,1,1,0.9217391304347826,1,0.25,0.4,0.1016949152542373,0.025423728813559324,0.025423728813559324,0.625,model_5
Class: Actinomycetia,0.4782608695652174,0.9473684210526315,0.6874999999999999,0.8823529411764707,0.6875,0.4782608695652174,0.5641025641025642,0.19491525423728814,0.09322033898305085,0.13559322033898305,0.7128146453089245,model_6
Class: Alphaproteobacteria,0,1,NA,0.9322033898305084,NA,0,NA,0.06779661016949153,0,0,0.5,model_6
Class: Bacteroidia,0.5454545454545454,0.8941176470588236,0.6666666666666667,0.8351648351648352,0.6666666666666666,0.5454545454545454,0.6,0.2796610169491525,0.15254237288135594,0.2288135593220339,0.7197860962566844,model_6
Class: Cyanobacteriia,0.5,0.990909090909091,0.8000000000000009,0.9646017699115044,0.8,0.5,0.6153846153846154,0.06779661016949153,0.03389830508474576,0.0423728813559322,0.7454545454545455,model_6
