model_name,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue
model_1,0.6610169491525424,0.5213952545122694,0.5681409740046592,0.745593912624902,0.3898305084745763,2.385618383741513e-9,NA
model_2,0.6271186440677966,0.4518581081081081,0.5333181142496655,0.714375243005064,0.4152542372881356,2.8525130413366105e-6,NA
model_3,0.7033898305084746,0.5731707317073171,0.6123409919340632,0.7839339466316845,0.4067796610169492,6.96944567138771e-11,NA
model_4,0.635593220338983,0.47244749428155536,0.5419810676154984,0.722223299998495,0.4067796610169492,4.493839577091904e-7,NA
model_5,0.6271186440677966,0.4559362883789165,0.5333181142496655,0.714375243005064,0.3983050847457627,4.3937711743172515e-7,NA
model_6,0.6101694915254238,0.4424242424242425,0.5160753718024819,0.6985949111474687,0.3644067796610169,5.173096831921434e-8,NA
model_7,0.7542372881355932,0.6460854276553936,0.6664775123097364,0.8288191501284775,0.3728813559322034,3.896439567144517e-17,NA
model_8,0.6271186440677966,0.47052824801142157,0.5333181142496655,0.714375243005064,0.4067796610169492,1.1421782420955658e-6,NA
model_9,0.6271186440677966,0.4666666666666667,0.5333181142496655,0.714375243005064,0.423728813559322,6.851763336343632e-6,NA
model_10,0.635593220338983,0.4574422583404619,0.5419810676154984,0.722223299998495,0.4152542372881356,1.1608693861490266e-6,NA
model_11,0.6101694915254238,0.4621482362267143,0.5160753718024819,0.6985949111474687,0.3813559322033898,4.103148637897643e-7,NA
model_12,0.6101694915254238,0.45032911392405073,0.5160753718024819,0.6985949111474687,0.3389830508474576,1.6290833296870594e-9,NA
model_13,0.6610169491525424,0.5065858247961531,0.5681409740046592,0.745593912624902,0.4322033898305085,4.5919728410564955e-7,NA
model_14,0.6610169491525424,0.5027915306014958,0.5681409740046592,0.745593912624902,0.4152542372881356,6.324146468337748e-8,NA
model_15,0.6610169491525424,0.5347461803844259,0.5681409740046592,0.745593912624902,0.3305084745762712,2.2607353221276322e-13,NA
model_16,0.6694915254237288,0.5335495641597405,0.5769194834406761,0.7533246131447846,0.3813559322033898,2.2548157365590685e-10,NA
model_17,0.652542372881356,0.48809649772510855,0.5593920595287117,0.7378331092115467,0.3983050847457627,2.1720315580334353e-8,NA
model_18,0.5847457627118644,0.41784132098268223,0.4904143757093876,0.6747191072560652,0.4067796610169492,7.237178465313786e-5,NA
model_19,0.6694915254237288,0.5380445693635816,0.5769194834406761,0.7533246131447846,0.3983050847457627,2.4429346003406443e-9,NA
model_20,0.6440677966101694,0.47119078104993595,0.5506722429958677,0.730042740199058,0.4067796610169492,1.7068271416175795e-7,NA
model_21,0.6271186440677966,0.4405172413793103,0.5333181142496655,0.714375243005064,0.4322033898305085,1.5845523630774315e-5,NA
model_22,0.6779661016949152,0.5525396666999302,0.5857281279767285,0.7610246273643144,0.3728813559322034,1.828226293813328e-11,NA
model_23,0.5847457627118644,0.409578270192995,0.4904143757093876,0.6747191072560652,0.3389830508474576,4.118565670212232e-8,NA
model_24,0.652542372881356,0.48245614035087725,0.5593920595287117,0.7378331092115467,0.4491525423728814,6.85395936965886e-6,NA
model_25,0.6949152542372882,0.5690372324236583,0.6034382185191046,0.7763300103939149,0.3728813559322034,1.3306069504880109e-12,NA
model_26,0.5847457627118644,0.4105413395860944,0.4904143757093876,0.6747191072560652,0.3389830508474576,4.118565670212232e-8,NA
model_27,0.6949152542372882,0.5565299091763233,0.6034382185191046,0.7763300103939149,0.4576271186440678,1.6309341557688517e-7,NA
model_28,0.6186440677966102,0.44577810249452043,0.5246829991255603,0.7064989861463196,0.4067796610169492,2.803601572244368e-6,NA
model_29,0.6101694915254238,0.43722135821669267,0.5160753718024819,0.6985949111474687,0.3644067796610169,5.173096831921434e-8,NA
model_30,0.6440677966101694,0.47231686541737644,0.5506722429958677,0.730042740199058,0.4830508474576271,3.096432779185686e-4,NA
model_31,0.6186440677966102,0.4480823199251638,0.5246829991255603,0.7064989861463196,0.3813559322033898,1.561147378423765e-7,NA
model_32,0.6016949152542372,0.4472792505481363,0.5074949133663417,0.6906633665448387,0.3644067796610169,1.4093768766053547e-7,NA
model_33,0.6694915254237288,0.5331236684589632,0.5769194834406761,0.7533246131447846,0.3813559322033898,2.2548157365590685e-10,NA
model_34,0.576271186440678,0.35107787065552143,0.48191380278892865,0.666706938799597,0.4661016949152542,0.0105896173204205,NA
model_35,0.6779661016949152,0.5308151093439364,0.5857281279767285,0.7610246273643144,0.423728813559322,2.2270364054478294e-8,NA
model_36,0.7033898305084746,0.5796865458986363,0.6123409919340632,0.7839339466316845,0.4152542372881356,2.3643225009615656e-10,NA
model_37,0.7033898305084746,0.5683077244695307,0.6123409919340632,0.7839339466316845,0.4152542372881356,2.3643225009615656e-10,NA
model_38,0.6779661016949152,0.5349030183590914,0.5857281279767285,0.7610246273643144,0.3644067796610169,4.776037532898212e-12,NA
model_39,0.559322033898305,0.3610330105175465,0.4649910125261717,0.6506036840164924,0.3728813559322034,2.973686573523959e-5,NA
model_40,0.6864406779661016,0.5250734254323941,0.594567494138781,0.7686933221228796,0.4915254237288136,1.4315382156771397e-5,NA
model_41,0.652542372881356,0.49906813004762896,0.5593920595287117,0.7378331092115467,0.4322033898305085,1.1740462306928762e-6,NA
model_42,0.6016949152542372,0.45950687067537266,0.5074949133663417,0.6906633665448387,0.3135593220338983,1.0928789294619373e-10,NA
model_43,0.6271186440677966,0.46252587991718425,0.5333181142496655,0.714375243005064,0.3813559322033898,5.737308636722339e-8,NA
model_44,0.5847457627118644,0.39392033542976934,0.4904143757093876,0.6747191072560652,0.423728813559322,3.1103845345779716e-4,NA
model_45,0.5677966101694916,0.3909523327598422,0.4734394090107576,0.6586683958384674,0.3728813559322034,1.3368991853938862e-5,NA
model_46,0.6610169491525424,0.5104750051856461,0.5681409740046592,0.745593912624902,0.4067796610169492,2.2112445157399132e-8,NA
model_47,0.6271186440677966,0.469120654396728,0.5333181142496655,0.714375243005064,0.4067796610169492,1.1421782420955658e-6,NA
model_48,0.6610169491525424,0.5358898721730581,0.5681409740046592,0.745593912624902,0.3644067796610169,6.057322023843914e-11,NA
model_49,0.6271186440677966,0.45341614906832295,0.5333181142496655,0.714375243005064,0.3898305084745763,1.62187197931364e-7,NA
model_50,0.7033898305084746,0.5612916932228595,0.6123409919340632,0.7839339466316845,0.4152542372881356,2.3643225009615656e-10,NA
model_51,0.6016949152542372,0.429130211013896,0.5074949133663417,0.6906633665448387,0.423728813559322,7.478821929165648e-5,NA
