SampleName,OmernikISample,OmernikIISample,OmernikIIISample
NASQAN2010_121,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2010_127,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2010_155,Great Plains,Temperate Prairies,Western Corn Belt Plains
NASQAN2010_172,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2010_190,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2010_233,Great Plains,Temperate Prairies,Central Irregular Plains
NASQAN2011_028,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_031,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_034,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_051,Great Plains,Temperate Prairies,Western Corn Belt Plains
NASQAN2011_057,Great Plains,Temperate Prairies,Western Corn Belt Plains
NASQAN2011_060,Great Plains,Temperate Prairies,Western Corn Belt Plains
NASQAN2011_090,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_096,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_099,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_172,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_177,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_188,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_194,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_198,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_209,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_217,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_219,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_225,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_229,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_231,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_236,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_239,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_240,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Mississippi Alluvial Plain
NASQAN2011_250,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_256,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_262,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_265,Great Plains,Temperate Prairies,Central Irregular Plains
NASQAN2011_275,Great Plains,Temperate Prairies,Central Irregular Plains
NASQAN2011_277,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_282,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_286,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_330,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_332,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
NASQAN2011_333,Eastern Temperate Forests,Southeastern USA Plains,Interior River Valleys and Hills
