genome	taxonomy
NASQAN2010_127_B_bin.3.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae; g__Aestuariivirga; s__NASQAN2010_127_B_bin.3
NASQAN2010_127_F_bin.3.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylopumilus; s__Methylopumilus universalis
NASQAN2010_155_B_bin.10.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g; f__UBA955; g__UBA955; s__UBA955 sp002293105
NASQAN2010_155_B_bin.3.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Arenimonas; s__NASQAN2010_155_B_bin.3
NASQAN2010_155_F_bin.20.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcoleaceae; g__Planktothrix; s__Planktothrix agardhii
NASQAN2010_155_F_bin.23.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__NASQAN2010_155_F_bin.23
NASQAN2010_155_F_bin.27.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__NASQAN2010_155_F_bin.27
NASQAN2010_190_B_bin.17.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__SYAN01; s__SYAN01 sp010028225
NASQAN2011_051_A_bin.9.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas sp016703745
NASQAN2011_057_B_bin.7.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__Planktophila; s__NASQAN2011_057_B_bin.7
NASQAN2011_060_F_bin.23.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__MAG-120802; s__NASQAN2011_060_F_bin.23
NASQAN2011_099_B_bin.3.fa	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA2386; f__UBA2386; g__NASQAN2011_099_B_bin.3; s__NASQAN2011_099_B_bin.3
NASQAN2011_099_F_bin.1.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylopumilus; s__Methylopumilus rimovensis
NASQAN2011_177_B_bin.12.fa	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__SXXK01; s__NASQAN2011_177_B_bin.12
