SampleName,Sample,WCH,NPOC,SPC,SO4,NO3,TotalN,Latitude,Longitude,streamorde,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,AridityWs,NPPWs
cobbmillcreek_2019_sw_WHONDRS-S19S_0090,S19S_0090,6,1.81,242,36.61333333,22.21666667,5.24,37.291383,-75.930606,1,0,0,0.086565097,0,7.548476454,2.423822715,0.398199446,0,0,0.779085873,7.96398892,7.063711911,0.27700831,0.173130194,0.917590028,61.04570637,10.94182825,0.380886427,1063.433912,19.71580053,15.05984184,378,33.9696376,5.1984,0,0.7455,9814
whiteclaycreek2_2019_sw_WHONDRS-S19S_0038,S19S_0038,9.4,0.816666667,237,17.89333333,18.41,4.196666667,39.8594333,-75.7839486,2,0,0,0.124610592,0,6.91588785,0.778816199,0.186915888,0.010384216,0,15.54517134,0.529595016,5.825545171,0.425752856,0.010384216,40.91381101,24.69366563,3.634475597,0.404984424,1193.014896,17.07717955,11.49977106,538,41.22403135,8.667,0.115380178,0.92,6986
whiteclaycreek1_2019_sw_WHONDRS-S19S_0037,S19S_0037,15.9,0.925,239,18.28,18.15333333,4.25,39.8577967,-75.7830393,2,0,0,0.124610592,0,6.91588785,0.778816199,0.186915888,0.010384216,0,15.54517134,0.529595016,5.825545171,0.425752856,0.010384216,40.91381101,24.69366563,3.634475597,0.404984424,1193.014896,17.07717955,11.49977106,538,41.22403135,8.667,0.115380178,0.92,6986
lewisrun_2019_sw_WHONDRS-S19S_0014,S19S_0014,9,0.74,572,17.86,12.04,2.906666667,39.0941,-77.9808,2,0,0,0.007144388,0,5.994141602,0.864470958,0.171465314,0.007144388,0,8.658998357,1.664642423,5.151103808,0,0.135743374,65.47117239,11.77395156,0.014288776,0.085732657,973.9609144,18.36143339,12.15306272,404,26.79205692,12.5973,0,0.7784,6401
blackearthcreek_2019_sw_WHONDRS-S19S_0061,S19S_0061,78,2.646666667,576,11.34333333,9.61,2.556666667,43.1095,-89.6407,1,0,0,0,0,2.03313253,7.304216867,4.969879518,1.129518072,0,52.03313253,0,4.36746988,2.18373494,1.054216867,6.777108434,11.52108434,0.451807229,6.174698795,905.648993,13.50299018,7.964549492,270,115.1076539,1.1952,0.836680054,0.7834,5877
eastforkpoplarcreek_2019_sw_WHONDRS-S19S_0039,S19S_0039,7,3.03,220,13.40666667,7.88,2.166666667,35.966194,-84.359197,3,0,0,0.062317499,0,15.64169219,15.0220782,10.43551029,6.50060537,0.0195855,40.91766968,1.48849797,3.774659925,0.571540489,0.770956485,2.49448045,0,2.259454455,0.040951499,1342.137559,20.46643322,14.47648801,662,295.500099,50.5476,0.039566666,0.9466,11659
deadrun_2019_sw_WHONDRS-S19S_0006,S19S_0006,6,1.523333333,1293,31.3,6.223333333,1.6,39.311369,-76.717163,2,0,0,0,0,19.48937658,33.89000612,22.67202938,12.16665209,0.056833086,11.13928478,0,0.253562997,0.043717758,0.017487103,0.227332342,0,0.043717758,0,1129.738074,18.67254415,13.02585217,371,1557.463948,20.5866,0.048575287,0.8666,29135
yakimariver_2019_sw_WHONDRS-S19S_0060,S19S_0060,34,1.4,266,16.48,5.26,1.513333333,46.2531882,-119.4768203,7,0.002560502,0.469064722,0.673507986,0.064748689,2.740370625,1.69134585,0.787443914,0.200346461,0.619679837,0.062104971,31.15031567,0.029100103,23.0537658,22.94386906,3.389272189,11.13030278,0.892802161,0.571023902,760.0854527,13.24511316,7.534655743,488.4670566,19.99533664,14059.7442,0.011237758,0.7312,5678
greatmiami_2019_sw_WHONDRS-S19S_0099,S19S_0099,23.37,0.98,657,45.91666667,4.606666667,1.613333333,39.2385932,-84.7119066,7,0.01037803,0,0.998524698,0,7.512843493,5.853728959,3.268535432,1.154851083,0.134789454,11.84731648,0.224646067,0.581533428,0.029634818,0.469124247,7.629850242,59.80093165,0.276407248,0.217282703,1017.070493,16.41670514,10.89252149,344.9963901,132.6137958,9924.8121,0.024987879,0.8321,7401
flintriver_2019_sw_WHONDRS-S19S_0015,S19S_0015,222.504,2.2,170.4,4.176666667,4.11,1.22,31.184396,-84.439009,7,0.029886593,0,1.150654313,0,4.651325125,2.990574119,1.128332599,0.593141087,0.16344065,10.78002519,24.26735713,7.221982038,3.766281953,5.359669108,6.305542075,19.46264832,11.71163392,0.447392373,1232.844894,24.37157583,17.87626298,405.2004069,51.6214493,15123.8385,0.004297851,0.8019,6656
