function_class,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,DamDensWs,PopDen2010Ws
Aerobic,-27.942869455382997,-27.942869455382997,-27.942869455382997,-27.942869481662115,-27.942869501079656,-27.942869485953544,-27.94286947178829,-27.94286945545963,-27.942869470403004,-27.942869455382997,-27.9428694557249,-27.942869455441944,-27.942869455406576,-27.94286945568953,-27.942869455382997,-27.942869455441944,-27.942869455382997,-27.942869455382997,-27.942871555437023
Microaerophillic,-19.585638184494098,-19.585638184494098,-19.585638184494098,-19.585638202913582,-19.585638216523673,-19.58563820592152,-19.585638195992846,-19.58563818454781,-19.58563819502188,-19.585638184494098,-19.585638184733742,-19.585638184535416,-19.585638184510625,-19.58563818470895,-19.585638184494098,-19.585638184535416,-19.585638184494098,-19.585638184494098,-19.585639656458113
Light_driven,-539.787861699912,-539.787861699912,-539.787861699912,-539.7878622075602,-539.7878625826597,-539.7878622904602,-539.7878620168221,-539.7878617013924,-539.7878619900619,-539.787861699912,-539.7878617065168,-539.7878617010507,-539.7878617003674,-539.7878617058335,-539.787861699912,-539.7878617010507,-539.787861699912,-539.787861699912,-539.787902267817
N_Reducer,14.832843991274874,14.832843991274874,14.832843991274874,14.832844005224553,14.832844015531919,14.832844007502562,14.832843999983254,14.832843991315555,14.832843999247908,14.832843991274874,14.832843991456366,14.832843991306165,14.83284399128739,14.83284399143759,14.832843991274874,14.832843991306165,14.832843991274874,14.832843991274874,14.832845106041338
DNRA,-14.154138551911732,-14.154138551911732,-14.154138551911732,-14.154138565223116,-14.154138575058848,-14.15413856739689,-14.154138560221643,-14.154138551950549,-14.154138559519943,-14.154138551911732,-14.154138552084918,-14.15413855194159,-14.154138551923674,-14.154138552067002,-14.154138551911732,-14.15413855194159,-14.154138551911732,-14.154138551911732,-14.154139615669902
Methanotroph,-21.430824989543144,-21.430824989543144,-21.430824989543144,-21.43082500969795,-21.430825024590266,-21.43082501298927,-21.430825002125207,-21.43082498960192,-21.43082500106276,-21.430824989543144,-21.430824989805366,-21.430824989588356,-21.430824989561227,-21.43082498977824,-21.430824989543144,-21.430824989588356,-21.430824989543144,-21.430824989543144,-21.430826600182684
Aerobic,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331126127,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894376657443,-9.777894331081782,-9.777894332644946,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331081782,-9.777894331253549
Microaerophillic,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780123511,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386827291572,-10.129386780077573,-10.12938678169693,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780077573,-10.129386780255514
Light_driven,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.176007459293025,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.176007502021623,-9.17600745925141,-9.176007460718353,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.17600745925141,-9.176007459412602
N_Reducer,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985078193,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274921042237056,-12.274920985022524,-12.27492098698488,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985022524,-12.274920985238154
DNRA,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595318791691,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595380251694,-13.198595318731833,-13.198595320841855,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.198595318731833,-13.19859531896369
Methanotroph,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498420148,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106588571576,-19.360106498332343,-19.36010650142739,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498332343,-19.360106498672437
Aerobic,-29.41025521170012,-29.410255212522,-29.41025521171166,-29.410255212561303,-29.410255212004838,-29.410255211788865,-29.410255211681633,-29.410255212482667,-29.410255212811716,-29.410255233568503,-29.41025521178128,-29.410255304386006,-29.410255225900467,-29.410255216210857,-29.410255212486643,-29.410255213040326,-29.41025521344513,-29.410255211657812,-29.410255216019838
Microaerophillic,-57.60605677331799,-57.60605677492781,-57.60605677334059,-57.60605677500479,-57.60605677391484,-57.60605677349181,-57.60605677328178,-57.606056774850764,-57.606056775495276,-57.60605681615172,-57.60605677347695,-57.60605695486243,-57.6060568011323,-57.60605678215319,-57.60605677485855,-57.60605677594305,-57.60605677673595,-57.60605677323511,-57.606056781779046
Light_driven,-15.710421756065829,-15.71042175650486,-15.710421756071993,-15.710421756525855,-15.710421756228603,-15.710421756113234,-15.710421756055952,-15.71042175648385,-15.710421756659622,-15.710421767747517,-15.71042175610918,-15.710421805576937,-15.710421763651393,-15.71042175847538,-15.710421756485973,-15.710421756781741,-15.71042175699798,-15.710421756043226,-15.710421758373343
