Sample,NPOC_avg,Richness,lengthkm,streamleve,StreamUpdated,EcoRegion,Distance.between.downstream.and.midstream.site..m.,Distance.between.upstream.and.midstream.site..m.,Latitude.of.downstream.site..decimal.degrees.,Longitude.of.downstream.site..decimal.degrees.,Height.of.water.column.at.downstream.sampling.location..cm.,pH.value.from.colorimetric.pH.strip,Water.temperature.at.50..depth.at.downstream.sampling.location.deg.C.,Approximate.distance.from.gauging.station..m.,X00940_Cl_mg_per_L,X00945_SO4_mg_per_L_as_SO4,X71851_NO3_mg_per_L_as_NO3,X00950_F_mg_per_L,X00602_TN_mg_per_L_as_N,NPP
S19S_0007,1.013333333,102,NA,NA,1,NORTHWESTERN FORESTED MOUNTAINS,9.5,26,37.05255,-119.195598,4,6.5,11.2,15,0.39,0.19,0.1,0.04,0.4,4055.4
S19S_0013,1.896666667,100,NA,NA,2,EASTERN TEMPERATE FORESTS,10,16,38.8952,-78.1476,9,6.5,21.1,2,2.85,3.17,0.97,0.06,0.37,7245.111111
S19S_0029,0.676666667,86,NA,NA,2,NORTHWESTERN FORESTED MOUNTAINS,10,30,40.78319,-111.80126,6.5,7.5,12,20,10.54,77.74,0.23,0.1,0.41,5015.307143
S19S_0035,9.766666667,91,NA,NA,1,SOUTHERN SEMIARID HIGHLANDS,60,31,32.42735,-110.757838,14,6.5,18.4,5,1.93,3.65,0.1,0.27,0.63,2300.6
S19S_0036,1.126666667,634,NA,NA,8,NORTH AMERICAN DESERTS,10,10,46.372515,-119.271902,28,7,11,95,2.23,12.11,0.89,0.11,0.38,
S19S_0072,3.333333333,196,NA,NA,1,EASTERN TEMPERATE FORESTS,21.7,26.6,42.5235645,-71.1848201,19,6,18.5,2,261.01,16.66,3.5,0,1.39,19665.78378
S19S_0074,1.37,876,NA,NA,8,NORTH AMERICAN DESERTS,10,10,46.376172,-119.272998,23,6.5,11,95,1.27,10.12,0.43,0.09,0.48,
S19S_0076,1.473333333,865,NA,NA,8,NORTH AMERICAN DESERTS,10,10,46.679191,-119.462605,27,6.5,14,40,1.45,9.87,0.1,0.09,0.22,
S19S_0082,5.446666667,261,NA,NA,3,EASTERN TEMPERATE FORESTS,12,12,38.8748619,-76.5465418,40,7,31.4,10,3874.53,515.7,0.1,0,0.44,5719.5
S19S_0086,0.696666667,383,NA,NA,2,NORTHWESTERN FORESTED MOUNTAINS,15,30,40.7797,-111.8064,8,8,11.5,25,11.18,82.35,0.1,0.12,0.37,5025.645161
S19S_0010,2.273333333,753,5.37,1,7,EASTERN TEMPERATE FORESTS,8,8,31.667875,-81.840062,30,6.7,30,1930,7.44,13.55,0.85,0.11,0.41,7170
S19S_0020,3.81,294,0.952,2,7,EASTERN TEMPERATE FORESTS,10,11.3,31.85294,-88.15755,30.5,7.5,30.5,30,11.81,36.24,0.38,0.09,0.39,5319
S19S_0066,2.57,602,4.301,1,7,NORTHWESTERN FORESTED MOUNTAINS,10,10,35.19845,-106.643178,9,6.5,31.2,100,3.85,21.56,0.69,0.24,0.56,3591
S19S_0099,1.96,826,2.146,3,7,EASTERN TEMPERATE FORESTS,18.29,18.29,39.2385932,-84.7119066,23.37,7.5,27.3,3600,70.55,47.79,4.43,0.33,1.51,7401
S19S_0009,2.705,854,4.068,5,6,NORTH AMERICAN DESERTS,9.96,9.06,42.9877,-108.3983,13,8,25.6,2000,6.96,160.13,0.1,0.21,0.53,2242
S19S_0021,1.563333333,507,4.681,3,6,EASTERN TEMPERATE FORESTS,18,28.2,32.54069,-87.79835,15,7.5,33.4,30,13.06,64.12,0.1,0.11,0.53,6347
S19S_0063,2.076666667,535,2.046,1,6,GREAT PLAINS,10,13,30.250335,-97.709399,20,7.5,24,3000,29.88,29.2,1.85,0.17,0.71,3922
S19S_0077,2.223333333,513,1.639,4,6,NORTHWESTERN FORESTED MOUNTAINS,35,50,40.66403,-105.223141,16,6.5,18,20,0.78,3.47,0.1,0.16,0.24,3907
S19S_0079,1.333333333,618,0.803,1,6,NORTHWESTERN FORESTED MOUNTAINS,14,15,43.6369,-123.5721,48,7.75,19,13230,3.7,3.7,0.1,0.07,1.25,9109
S19S_0011,3.5,794,1.048,2,5,EASTERN TEMPERATE FORESTS,5,10,33.955686,-83.437674,100,6.7,24,1900,3.07,3.03,2.99,0.07,1.29,8020
S19S_0053,2.523333333,704,2.798,2,5,NORTHERN FORESTS,10,10,41.869567,-73.00222222,10,6.5,22.78,60,58.81,14.99,2.89,0.05,1.03,10953
S19S_0054,4.296666667,464,3.067,1,5,EASTERN TEMPERATE FORESTS,10,30,37.57261,-77.0237,40,6.7,29.1,100,18.79,7.06,0.1,0.08,0.44,5978
