genome_id,metagenome_id,genome_length,num_contigs,n50,num_16s,num_5s,num_23s,num_trna,completeness,contamination,quality_score,mimag_quality,otu_id,ecosystem,ecosystem_category,ecosystem_type,habitat,longitude,latitude
3300029941_1,3300029941,2995400,48,102618,1,1,1,45,92.19,0.32,90.59,HQ,OTU-1318,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__UBA4765;g__UBA4765;s__GCA_002365175.1,Aquatic,Freshwater,Aquatic,NULL,NULL
3300029938_4,3300029938,795032,127,6428,0,0,0,23,51.63,0,51.63,MQ,OTU-7912,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__,Aquatic,Freshwater,Environmental,NULL,NULL
3300029938_3,3300029938,973612,138,8211,0,0,0,29,79.52,4.4,57.52,MQ,OTU-7911,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Fonsibacter;s__Fonsibacter ubiquis,Aquatic,Freshwater,Environmental,NULL,NULL
3300029930_4,3300029930,798715,128,6428,0,1,1,23,51.89,0,51.89,MQ,OTU-7912,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__,Aquatic,Freshwater,Aquatic,NULL,NULL
3300029930_3,3300029930,973408,138,8211,0,0,0,29,79.52,4.4,57.52,MQ,OTU-7911,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Fonsibacter;s__Fonsibacter ubiquis,Aquatic,Freshwater,Aquatic,NULL,NULL
3300029798_9,3300029798,3008701,133,31324,1,1,1,43,97.39,0,97.39,HQ,OTU-13152,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_8,3300029798,3503950,62,85516,1,1,1,43,95.27,0,95.27,HQ,OTU-7200,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_P;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_7,3300029798,3923116,272,24612,1,1,1,53,96.25,1.1,90.75,HQ,OTU-9042,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_21,3300029798,914625,98,11760,2,0,1,47,68.06,0.93,63.41,MQ,OTU-17973,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA2206;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_20,3300029798,1162604,51,39099,1,1,1,42,72.28,1.98,62.38,MQ,OTU-11917,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_19,3300029798,1224852,170,8364,0,0,0,23,81.13,1.18,75.23,MQ,OTU-14662,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Ferrovaceae;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_17,3300029798,1711643,258,7190,1,1,1,28,74.36,2.71,60.81,MQ,OTU-7715,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
3300029798_13,3300029798,2344662,109,39391,0,1,1,37,93.79,0,93.79,MQ,OTU-13668,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__,Aquatic,Freshwater,Freshwater lake,25.1136,61.2081
