mag_id,coassembly_ecozone,completeness,contamination,strain_heterogeneity,genome_size_mbp,gc,n_genes,coding_density,n_contigs,n50,n_trna_genes,n_trna_aminoacids,n_16s_rrna_genes,n_23s_rrna_genes,n_5s_rrna_genes,mimag_quality,domain,phylum,class,order,family,genus,species,taxon
AH_bin106,Atlantic Highlands,98.54,0,0,7.517473,41.60049527,5890,0.893622232,315,38324,47,20,1,0,0,high,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,M3007,NA,Bacteroidota
AH_bin12,Atlantic Highlands,63.28,1.72,0,1.763615,64.68032989,1922,0.934034923,268,7891,25,14,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA,NA,Verrucomicrobiota/_A
AH_bin13,Atlantic Highlands,54.44,0.47,0,0.628691,34.2778885,699,0.927703753,160,3913,13,7,0,0,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA1997,SYAR01,NA,Alphaproteobacteria
AH_bin152,Atlantic Highlands,66.52,0.27,0,2.403975,35.3806092,2499,0.908745723,539,4680,23,11,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,M2408,NA,Bacteroidota
AH_bin165,Atlantic Highlands,72.19,0.68,0,4.074988,65.72627944,3923,0.91207925,759,5853,32,13,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA9464,NA,NA,Verrucomicrobiota/_A
AH_bin185,Atlantic Highlands,51.31,0.41,0,0.967401,63.0610264,1189,0.935034179,216,4793,9,7,0,0,0,medium,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Cyanobium_A,NA,Cyanobacteria
AH_bin22,Atlantic Highlands,53.08,1,0,1.690708,65.24728102,1893,0.922381038,372,4808,19,11,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhizobacter,NA,Gammaproteobacteria
AH_bin23,Atlantic Highlands,74.29,2.11,9.09,3.213378,66.54116011,3339,0.913542073,570,6090,20,13,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Ga0077523,Ga0077526,NA,Gammaproteobacteria
AH_bin243,Atlantic Highlands,63.43,0,0,2.334497,67.57832629,2497,0.916468087,282,10848,35,16,0,0,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,Alphaproteobacteria
AH_bin248,Atlantic Highlands,93.21,2.06,0,4.099418,67.64335815,3195,0.900577838,485,10602,40,19,1,0,0,high,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA9464,UBA6176,NA,Verrucomicrobiota/_A
AH_bin25,Atlantic Highlands,77.89,0.81,0,2.909542,62.16961295,2849,0.920005623,458,7131,29,17,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,PHOS-HE28,PHOS-HE28,NA,Bacteroidota
AH_bin284,Atlantic Highlands,64.08,0,0,0.640902,33.47968956,727,0.914326995,115,6359,36,17,1,1,0,medium,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9973,NA,NA,Patescibacteria
AH_bin306,Atlantic Highlands,54.61,0,0,0.806551,61.960372,956,0.954868322,183,4634,11,8,0,0,1,medium,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,NA,NA,Actinobacteriota
AH_bin311,Atlantic Highlands,90.03,0,0,1.695803,37.52122151,1623,0.918195097,65,45140,31,18,0,0,0,high,Bacteria,Verrucomicrobiota_A,Chlamydiia,Parachlamydiales,NA,NA,NA,Verrucomicrobiota/_A
AH_bin348,Atlantic Highlands,85.93,3.39,5.56,3.519156,62.81403837,3798,0.890521193,470,9400,37,18,0,0,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,UBA7672,NA,Alphaproteobacteria
AH_bin361,Atlantic Highlands,98.51,1.24,0,4.319049,51.68114555,3569,0.912041285,128,51117,38,19,0,0,0,high,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,M3007,NA,Bacteroidota
AH_bin373,Atlantic Highlands,87.12,2.13,0,1.939119,39.33513106,1882,0.913117761,256,9997,19,12,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1312,NA,Bacteroidota
AH_bin399,Atlantic Highlands,50,0,0,2.10689,57.88413254,1945,0.893584857,535,3972,7,4,0,0,0,medium,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula_B,NA,Planctomycetota
AH_bin404,Atlantic Highlands,51.6,0.07,0,0.446424,33.62386431,546,0.916733867,86,5423,23,18,1,0,0,medium,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,NA,NA,Patescibacteria
AH_bin41,Atlantic Highlands,63.79,0,0,3.625264,46.21845471,3504,0.903957891,783,4772,17,10,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,NA,Bacteroidota
AH_bin419,Atlantic Highlands,96.96,2.7,0,2.665271,58.51828951,2735,0.938862877,212,18088,39,19,1,1,1,high,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,QYQL01,NA,Verrucomicrobiota/_A
AH_bin424,Atlantic Highlands,52.51,0,0,0.950821,62.65806077,1093,0.95996828,210,4827,4,4,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,UBA10649,NA,Actinobacteriota
AH_bin429,Atlantic Highlands,57.38,0.03,0,1.394268,55.70887376,1529,0.921761813,302,4828,7,7,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,SYFN01,NA,Gammaproteobacteria
AH_bin434,Atlantic Highlands,77.63,5.54,4.55,2.585344,68.70977324,2739,0.939754632,469,5958,38,19,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,ZC4RG30,NA,Gammaproteobacteria
AH_bin436,Atlantic Highlands,68.43,0,0,2.0913,31.42399464,2071,0.914996892,374,6055,16,14,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,AKYH767,NA,NA,NA,Bacteroidota
AH_bin458,Atlantic Highlands,60.79,1.64,0,1.534157,34.25210067,1529,0.934227071,354,4412,15,9,0,0,0,medium,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,UBA961,NA,NA,Bacteroidota
AH_bin482,Atlantic Highlands,53.45,3.45,0,1.125416,44.50763096,1144,0.939791153,160,9136,13,7,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,Planktophila,NA,Actinobacteriota
AH_bin498,Atlantic Highlands,59.75,3.78,8.33,0.739185,33.61648302,874,0.906555193,122,7072,27,15,1,2,1,medium,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9973,UBA9973,NA,Patescibacteria
AH_bin542,Atlantic Highlands,52.7,1.72,0,1.712608,42.966283,1551,0.953668323,255,8230,15,8,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA955,UBA955,UBA955 sp002347985,Bacteroidota
AH_bin55,Atlantic Highlands,78.65,0,0,0.970632,43.12623116,832,0.913207065,26,59323,36,19,0,1,1,medium,Bacteria,Dependentiae,Babeliae,Babeliales,GCA-2401785,NA,NA,Dependentiae
AH_bin553,Atlantic Highlands,78.8,2.49,0,2.872417,61.37186906,2751,0.940310547,306,12748,23,12,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA,NA,Gammaproteobacteria
AH_bin555,Atlantic Highlands,61.75,0,0,0.911949,58.79791523,1011,0.950343714,184,5155,15,11,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,NA,Actinobacteriota
AH_bin580,Atlantic Highlands,98.85,1.35,0,6.117693,63.23859337,4963,0.885794367,342,28694,49,17,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA9464,UBA6176,NA,Verrucomicrobiota/_A
AH_bin601,Atlantic Highlands,53,1.66,0,0.969585,36.88990651,1145,0.902616068,241,3914,9,8,0,0,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,SXXS01,NA,Alphaproteobacteria
AH_bin615,Atlantic Highlands,82.3,0.34,0,1.3358,43.58137446,1220,0.905147477,46,46066,33,19,0,0,0,medium,Bacteria,Verrucomicrobiota_A,Chlamydiia,2-12-FULL-49-11,NA,NA,NA,Verrucomicrobiota/_A
AH_bin663,Atlantic Highlands,89.56,0.58,0,1.322694,60.24401713,1338,0.947148018,121,14572,35,19,1,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,NA,Actinobacteriota
AH_bin680,Atlantic Highlands,66.36,1.25,0,3.880895,60.71024854,3883,0.908267294,824,4933,36,17,2,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,V1-115,NA,Verrucomicrobiota/_A
AH_bin698,Atlantic Highlands,96.55,0.99,0,2.43848,31.46406778,2136,0.937824792,75,46394,34,20,1,0,0,high,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,UBA8649,NA,NA,Bacteroidota
AH_bin707,Atlantic Highlands,79.27,2.56,0,1.780379,55.71403617,1849,0.936258516,208,11213,38,19,0,1,1,medium,Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA,NA,Actinobacteriota
